slug,sku,color_name,size_label,size_system,stock_qty,price_override,active
ff-glacierpeak-vest,FF-GPV-NVY-M,Navy,M,alpha,9,,true
ff-glacierpeak-vest,FF-GPV-NVY-L,Navy,L,alpha,8,,true
ff-glacierpeak-vest,FF-GPV-NVY-XL,Navy,XL,alpha,4,,true
ff-glacierpeak-vest,FF-GPV-BLK-M,Black,M,alpha,7,179.99,true
ff-glacierpeak-vest,FF-GPV-BLK-L,Black,L,alpha,5,179.99,true
ff-lumina-sports-bra,FF-LSB-BLK-XS,Black,XS,alpha,12,,true
ff-lumina-sports-bra,FF-LSB-BLK-S,Black,S,alpha,15,,true
ff-lumina-sports-bra,FF-LSB-BLK-M,Black,M,alpha,13,,true
ff-lumina-sports-bra,FF-LSB-BLK-L,Black,L,alpha,8,,true
ff-lumina-sports-bra,FF-LSB-DUS-S,Dusty Rose,S,alpha,10,,true
ff-lumina-sports-bra,FF-LSB-DUS-M,Dusty Rose,M,alpha,9,,true
ff-ridgeline-pant,FF-RLP-GRY-S,Graphite,S,alpha,7,,true
ff-ridgeline-pant,FF-RLP-GRY-M,Graphite,M,alpha,11,,true
ff-ridgeline-pant,FF-RLP-GRY-L,Graphite,L,alpha,10,,true
ff-ridgeline-pant,FF-RLP-GRY-XL,Graphite,XL,alpha,5,,true
ff-ridgeline-pant,FF-RLP-OLV-M,Olive,M,alpha,8,,true
ff-ridgeline-pant,FF-RLP-OLV-L,Olive,L,alpha,6,,true
ff-swift-tank,FF-SWT-WHT-S,White,S,alpha,18,,true
ff-swift-tank,FF-SWT-WHT-M,White,M,alpha,20,,true
ff-swift-tank,FF-SWT-WHT-L,White,L,alpha,15,,true
ff-swift-tank,FF-SWT-BLK-S,Black,S,alpha,14,,true
ff-swift-tank,FF-SWT-BLK-M,Black,M,alpha,16,,true
ff-swift-tank,FF-SWT-BLK-XL,Black,XL,alpha,9,,true
ff-vortex-trainer,FF-VXT-BLK-7,Black,7,us,8,,true
ff-vortex-trainer,FF-VXT-BLK-8,Black,8,us,12,,true
ff-vortex-trainer,FF-VXT-BLK-9,Black,9,us,11,,true
ff-vortex-trainer,FF-VXT-BLK-10,Black,10,us,9,,true
ff-vortex-trainer,FF-VXT-BLK-11,Black,11,us,6,,true
ff-vortex-trainer,FF-VXT-WHT-8,White,8,us,7,124.99,true
ff-vortex-trainer,FF-VXT-WHT-9,White,9,us,5,124.99,true
ff-vortex-trainer,FF-VXT-WHT-10,White,10,us,0,124.99,true
ff-summit-beanie,FF-SMB-CHR-OS,Charcoal,OS,alpha,22,,true
ff-summit-beanie,FF-SMB-NVY-OS,Navy,OS,alpha,18,,true
ff-summit-beanie,FF-SMB-RED-OS,Crimson,OS,alpha,14,,true
ff-summit-beanie,FF-SMB-OAT-OS,Oatmeal,OS,alpha,20,,true
ff-enduro-sock,FF-ENS-WHT-S,White,S,alpha,30,,true
ff-enduro-sock,FF-ENS-WHT-M,White,M,alpha,30,,true
ff-enduro-sock,FF-ENS-WHT-L,White,L,alpha,28,,true
ff-enduro-sock,FF-ENS-BLK-S,Black,S,alpha,25,,true
ff-enduro-sock,FF-ENS-BLK-M,Black,M,alpha,26,,true
ff-enduro-sock,FF-ENS-BLK-L,Black,L,alpha,24,,true
